,applicant_id,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Has_been_employed_for_at_least,Has_been_employed_for_at_most,Foreign_worker,Savings_account_balance,loan_application_id,Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Other_EMI_plans,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
0,1469590,67,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,d68d975e-edad-11ea-8761-1d6f9c1ff461,6,electronic equipment,1169000,4,real estate,0,0,bank,2,critical/pending loans at other banks,0
1,1203873,22,female,divorced,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68d989e-edad-11ea-b1d5-2bcf65006448,48,electronic equipment,5951000,2,real estate,0,0,bank,1,existing loans paid back duly till now,1
2,1432761,49,male,single,2,own,3,unskilled - resident,4 years,7 years,1,Low,d68d995c-edad-11ea-814a-1b6716782575,12,education,2096000,2,real estate,0,0,bank,1,critical/pending loans at other banks,0
3,1207582,45,male,single,2,own,4,skilled employee / official,4 years,7 years,1,Low,d68d99fc-edad-11ea-8841-17e8848060ae,42,FF&E,7882000,2,building society savings agreement/life insurance,0,1,bank,1,existing loans paid back duly till now,0
4,1674436,53,male,single,2,own,4,skilled employee / official,1 year,4 years,1,Low,d68d9a92-edad-11ea-9f3d-1f8682db006a,24,new vehicle,4870000,3,car or other,0,0,bank,2,delay in paying off loans in the past,1
5,1213971,35,male,single,2,own,4,unskilled - resident,1 year,4 years,1,Low,d68d9b1e-edad-11ea-8b43-2b6a0308d487,36,education,9055000,2,car or other,0,0,bank,1,existing loans paid back duly till now,0
6,1428822,53,male,single,1,own,4,skilled employee / official,7 years,4 years,1,High,d68d9bb4-edad-11ea-bb16-0490ef14f12e,24,FF&E,2835000,3,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
7,1705739,35,male,single,1,rent,2,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,d68d9c40-edad-11ea-b46c-5067ccf3672a,36,used vehicle,6948000,2,car or other,0,0,bank,1,existing loans paid back duly till now,0
8,1715169,61,male,divorced,1,own,4,unskilled - resident,4 years,7 years,1,High,d68d9cc2-edad-11ea-95a3-19eea692401f,12,electronic equipment,3059000,2,real estate,0,0,bank,1,existing loans paid back duly till now,0
9,1722991,28,male,divorced,1,own,2,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,d68d9d4e-edad-11ea-99f2-2c0022cf7ade,30,new vehicle,5234000,4,car or other,0,0,bank,2,critical/pending loans at other banks,1
10,1719964,25,female,divorced,1,rent,1,skilled employee / official,0 year,1 year,1,Low,d68d9dda-edad-11ea-8f66-070acf87953f,12,new vehicle,1295000,3,car or other,0,0,bank,1,existing loans paid back duly till now,1
11,1818043,24,female,divorced,1,rent,4,skilled employee / official,0 year,1 year,1,Low,d68d9e66-edad-11ea-a00e-08a9b825002d,48,business,4308000,3,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,1
12,1231297,22,female,divorced,1,own,1,skilled employee / official,1 year,4 years,1,Low,d68d9ef2-edad-11ea-9320-44cc6aafa0f2,12,electronic equipment,1567000,1,car or other,0,0,bank,1,existing loans paid back duly till now,0
13,1172292,60,male,single,1,own,4,unskilled - resident,7 years,4 years,1,Low,d68d9f74-edad-11ea-bd59-102afb4e8303,24,new vehicle,1199000,4,car or other,0,0,bank,2,critical/pending loans at other banks,1
14,1154808,28,female,divorced,1,rent,4,skilled employee / official,1 year,4 years,1,Low,d68da000-edad-11ea-9b39-3b57807cea95,15,new vehicle,1403000,2,car or other,0,0,bank,1,existing loans paid back duly till now,0
15,1648542,32,female,divorced,1,own,2,unskilled - resident,1 year,4 years,1,Medium,d68da08c-edad-11ea-86fa-3b9bbe2e06a1,24,electronic equipment,1282000,4,car or other,0,0,bank,1,existing loans paid back duly till now,1
16,1193245,53,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,d68da118-edad-11ea-9b17-1a2408e72e3d,24,electronic equipment,2424000,4,building society savings agreement/life insurance,0,0,bank,2,critical/pending loans at other banks,0
17,1740408,25,male,single,1,own,3,skilled employee / official,0 year,1 year,1,Low,d68da19a-edad-11ea-82a9-2ffed2c1ae59,30,business,8072000,2,car or other,0,0,bank,3,no loans taken/all loans paid back duly,0
18,1250076,44,female,divorced,1,own,2,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,d68da226-edad-11ea-ba6a-24e82f4a0901,24,used vehicle,12579000,4,car or other,0,0,bank,1,existing loans paid back duly till now,1
19,1616625,31,male,single,2,own,2,skilled employee / official,7 years,4 years,1,High,d68da2b2-edad-11ea-8889-45124b410d16,24,electronic equipment,3430000,3,car or other,0,0,bank,1,existing loans paid back duly till now,0
20,1428429,48,male,single,1,own,4,skilled employee / official,1 year,4 years,1,Low,d68da33e-edad-11ea-92d6-14d5f1dd4287,9,new vehicle,2134000,4,car or other,0,0,bank,3,critical/pending loans at other banks,0
21,1272219,44,male,single,2,rent,3,skilled employee / official,1 year,4 years,1,High,d68da3c0-edad-11ea-9c13-02e697b7fb47,6,electronic equipment,2647000,2,real estate,0,0,bank,1,existing loans paid back duly till now,0
